Log Time,kerberos,Bat
2025-02-16 12:53:02,laptiev,3.508333
2025-02-16 12:52:28,laptiev,3.508333
2025-02-16 12:51:54,laptiev,3.508333
2025-02-16 12:51:20,laptiev,3.426667
2025-02-16 12:50:46,laptiev,3.426667
2025-02-16 12:50:11,laptiev,3.426667
2025-02-16 12:49:36,laptiev,3.425
2025-02-16 12:49:02,laptiev,3.506667
2025-02-16 12:48:27,laptiev,3.431667
2025-02-16 12:47:53,laptiev,3.511667
2025-02-16 12:47:19,laptiev,3.505
2025-02-16 12:46:45,laptiev,3.431667
2025-02-16 12:46:11,laptiev,3.431667
2025-02-16 12:45:36,laptiev,3.511667
2025-02-16 12:45:02,laptiev,3.428333
2025-02-16 12:44:28,laptiev,3.423333
2025-02-16 12:43:54,laptiev,3.426667
2025-02-16 12:43:20,laptiev,3.426667
2025-02-16 12:42:45,laptiev,3.426667
2025-02-16 12:42:11,laptiev,3.506667
2025-02-16 12:41:37,laptiev,3.431667
2025-02-16 12:41:03,laptiev,3.431667
2025-02-16 12:40:29,laptiev,3.508333
2025-02-16 12:39:55,laptiev,3.508333
2025-02-16 12:39:21,laptiev,3.426667
2025-02-16 12:38:47,laptiev,3.428333
2025-02-16 12:38:13,laptiev,3.431667
2025-02-16 12:37:39,laptiev,3.508333
2025-02-16 12:37:05,laptiev,3.513333
2025-02-16 12:36:31,laptiev,3.508333
2025-02-16 12:35:57,laptiev,3.428333
2025-02-16 12:35:22,laptiev,3.431667
2025-02-16 12:34:48,laptiev,3.506667
2025-02-16 12:34:14,laptiev,3.431667
2025-02-16 12:33:40,laptiev,3.428333
2025-02-16 12:33:06,laptiev,3.431667
2025-02-16 12:32:32,laptiev,3.511667
2025-02-16 12:31:58,laptiev,3.513333
2025-02-16 12:31:24,laptiev,3.431667
2025-02-16 12:30:49,laptiev,3.511667
2025-02-16 12:30:15,laptiev,3.511667
2025-02-16 12:29:41,laptiev,3.431667
2025-02-16 12:29:07,laptiev,3.426667
2025-02-16 12:28:33,laptiev,3.513333
2025-02-16 12:27:59,laptiev,3.431667
2025-02-16 12:27:25,laptiev,3.511667
2025-02-16 12:26:51,laptiev,3.508333
2025-02-16 12:26:17,laptiev,3.508333
2025-02-16 12:25:43,laptiev,3.435
2025-02-16 12:25:08,laptiev,3.435
2025-02-16 12:24:34,laptiev,3.511667
2025-02-16 12:24:00,laptiev,3.508333
2025-02-16 12:23:26,laptiev,3.435
2025-02-16 12:22:52,laptiev,3.511667
2025-02-16 12:22:18,laptiev,3.433333
2025-02-16 12:21:44,laptiev,3.513333
2025-02-16 12:21:10,laptiev,3.433333
2025-02-16 12:20:36,laptiev,3.513333
2025-02-16 12:20:02,laptiev,3.435
2025-02-16 12:19:27,laptiev,3.435
2025-02-16 12:18:53,laptiev,3.433333
2025-02-16 12:18:19,laptiev,3.511667
2025-02-16 12:17:45,laptiev,3.511667
2025-02-16 12:17:11,laptiev,3.511667
2025-02-16 12:16:37,laptiev,3.433333
2025-02-16 12:16:03,laptiev,3.511667
2025-02-16 12:15:29,laptiev,3.431667
2025-02-16 12:14:55,laptiev,3.513333
2025-02-16 12:14:21,laptiev,3.511667
2025-02-16 12:13:47,laptiev,3.431667
2025-02-16 12:13:12,laptiev,3.438333
2025-02-16 12:12:38,laptiev,3.513333
2025-02-16 12:12:04,laptiev,3.511667
2025-02-16 12:11:30,laptiev,3.511667
2025-02-16 12:10:56,laptiev,3.435
2025-02-16 12:10:22,laptiev,3.435
2025-02-16 12:09:48,laptiev,3.438333
2025-02-16 12:09:14,laptiev,3.511667
2025-02-16 12:08:40,laptiev,3.511667
2025-02-16 12:08:06,laptiev,3.513333
2025-02-16 12:07:32,laptiev,3.438333
2025-02-16 12:06:58,laptiev,3.511667
2025-02-16 12:06:24,laptiev,3.438333
2025-02-16 12:05:49,laptiev,3.511667
2025-02-16 12:05:15,laptiev,3.438333
2025-02-16 12:04:41,laptiev,3.516666
2025-02-16 12:04:07,laptiev,3.513333
2025-02-16 12:03:33,laptiev,3.438333
2025-02-16 12:02:59,laptiev,3.511667
2025-02-16 12:02:25,laptiev,3.435
2025-02-16 12:01:51,laptiev,3.513333
2025-02-16 12:01:17,laptiev,3.435
2025-02-16 12:00:43,laptiev,3.438333
2025-02-16 12:00:09,laptiev,3.438333
2025-02-16 11:59:35,laptiev,3.513333
2025-02-16 11:59:01,laptiev,3.516666
2025-02-16 11:58:27,laptiev,3.511667
2025-02-16 11:57:53,laptiev,3.438333
2025-02-16 11:57:18,laptiev,3.516666
2025-02-16 11:56:44,laptiev,3.511667
2025-02-16 11:56:10,laptiev,3.438333
2025-02-16 11:55:36,laptiev,3.516666
2025-02-16 11:55:02,laptiev,3.44
2025-02-16 11:54:28,laptiev,3.44
2025-02-16 11:53:54,laptiev,3.438333
2025-02-16 11:53:20,laptiev,3.435
2025-02-16 11:52:46,laptiev,3.516666
2025-02-16 11:52:12,laptiev,3.521667
2025-02-16 11:51:38,laptiev,3.518333
2025-02-16 11:51:04,laptiev,3.44
2025-02-16 11:50:30,laptiev,3.438333
2025-02-16 11:49:56,laptiev,3.518333
2025-02-16 11:49:22,laptiev,3.516666
2025-02-16 11:48:48,laptiev,3.516666
2025-02-16 11:48:14,laptiev,3.438333
2025-02-16 11:47:39,laptiev,3.438333
2025-02-16 11:47:05,laptiev,3.516666
2025-02-16 11:46:31,laptiev,3.516666
2025-02-16 11:45:57,laptiev,3.52
2025-02-16 11:45:23,laptiev,3.441667
2025-02-16 11:44:49,laptiev,3.52
2025-02-16 11:44:15,laptiev,3.52
2025-02-16 11:43:41,laptiev,3.443333
2025-02-16 11:43:06,laptiev,3.521667
2025-02-16 11:42:32,laptiev,3.438333
2025-02-16 11:41:58,laptiev,3.52
2025-02-16 11:41:24,laptiev,3.441667
2025-02-16 11:40:50,laptiev,3.443333
2025-02-16 11:40:16,laptiev,3.52
2025-02-16 11:39:42,laptiev,3.521667
2025-02-16 11:39:08,laptiev,3.438333
2025-02-16 11:38:33,laptiev,3.521667
